,specialty,links,question,answer
0,Khoa da liễu,https://edoctor.io/hoi-dap/cau-hoi-bac-si-chuyen-khoa-da-lieu-than-kinh-and-co-xuong-khop-so-452602,"Xin chào bác sĩ,
Cách 3 ngày 2 chân của tôi xuất hiện những vết đỏ.Đến hôm nay những vết đỏ lan rộng lên trên đùi.Mắt cá chân bị xưng,hai đầu gối đau,mỏi.xin hỏi tôi bị bệnh gì?","Chào bạn. 
Xin được hỏi bạn những vết đỏ có gây mẩn , ngứa hay không ? 
Công việc của bạn có phải thường xuyên đi bộ, hoặc lao động nặng hay không ? 
Bạn cung cấp thêm thông tin để bác sỹ tư vấn cụ thể hơn nhé.
Thân mến."
1,Khoa da liễu,https://edoctor.io/hoi-dap/cau-hoi-bac-si-chuyen-khoa-da-lieu-san-phu-khoa-so-456644,"Em chào bác sĩ. 
Khoảng hơn 1 tháng trước em bị thuỷ đậu. Khoảng 2 tuần nay em chậm kinh và đi khám bác sĩ nói em có thai, em bé được 5 tuần tuổi. Tức là trong những ngày đầu em bị thuỷ đậu thì em có em bé. Em đọc 1 số bài viết nói về mẹ khi mang thai bé mà bị thuỷ đậu thì từ tuần thứ 8 trở đi rất nguy hiểm có thể gặp các biến chứng. Nhưng em có em bé lúc đó được tầm 2,3 ngày tuổi thì có ảnh hưởng gì tới em bé hay không ạ? Liệu khi em giữ em bé lại thì sau này có bị ảnh hưởng hay gặp các biến chứng hay nguy hiểm gì không? Mong bác sĩ tư vấn giúp em. Em cảm ơn","Chào bạn.
Nếu bà mẹ bị thủy đậu trong giai đoạn sớm của thời kỳ mang thai (tuần thứ 8 - 20) thì bào thai có nguy cơ bị dị tật bẩm sinh. Tuy nhiên về trường hợp của bạn, không thể khẳng định được thai có gặp vấn đề gì hay không? Chính vì vậy bạn cần đi khám, làm các xét nghiệm sớm, theo dõi thai thường xuyên nhé.
Thân mến."
2,Khoa da liễu,https://edoctor.io/hoi-dap/cau-hoi-bac-si-chuyen-khoa-da-lieu-san-phu-khoa-so-475204,xin chào bác sĩ cháu là nữ . Cách đây 4 ngày cháu có quan hệ bằng miệng với bạn trai cháu đây là lần đầu của cháu và bạn trai cháu cũng vậy. Nhưng sau khi quan hệ cổ họng cháu cảm thấy ngứa. Cháu k đau ho ít bên trong họng cháu k nổi gì cả. Vậy cho cháu hỏi cháu có mắc bệnh lậu không ạ? Ở cổ họng ngay cục amidam có vệt trắng tròn nhỏ k có mủ hay dịch gì cả liệu cháu có mắc phải bệnh k ạ,"Chào bạn,
Vậy có thể bạn đã bị lây nấm lây qua đường tình dục do quan hệ bằng miệng.
Để kiểm tra chắc chắn bạn có nhiễm nấm hay không , bạn nên đi khám sớm, làm xét nghiệm dịch họng tại chuyên khoa da liễu các bệnh viện lớn để được điều trị kịp thời.
Vệt trắng tròn nhỏ có thể do viêm họng, bạn chỉ cần súc miệng nước muối thường xuyên là đỡ.
Thân mến!"
3,Khoa da liễu,https://edoctor.io/hoi-dap/cau-hoi-bac-si-chuyen-khoa-da-lieu-ngoai-khoa-noi-khoa-noi-tiet-phuc-hoi-chuc-nang-tam-ly-and-tam-than-y-hoc-co-truyen-so-471477,"Xin chào bác sĩ,
em bị rụng tóc quá nhiều , tóc em trở nên thưa đi. em muốn bác si tư vấn cho em làm thế nào để giảm bớt rụng tóc va tóc được mọc nhanh hơn ạ","Chào bạn
Rụng tóc có mấy nguyên nhân sau:
- Thiếu dinh dưỡng
- Thay đổi nội tiết 
- Do căng thẳng, stress
- Do di truyền yếu tố gia đình
- Do thiếu máu
- Thiếu vitamin nhóm B
-Thai kỳ
- Ăn nhiều chất béo động vật, dùng các chất kích thích như cafe, thuốc lá...
Và tùy theo nguyên nhân để chữa rụng tóc, nhưng  để giảm bớt rụng tóc , giúp  tóc mọc nhanh dài, bạn cần làm những điều sau
1. Chế độ ăn  uống đủ chất dinh dưỡng, nhiều rau, trái cây, kiêng ăn nhiều chất béo động vật, kiêng những chất kích thích như cafe , thuốc lá...
 2. Giảm bớt căng thẳng bằng chế độ làm việc sinh hoạt thoái mái, điều độ, không nên thức quá khuya
3. VỆ sinh tóc hàng ngày, dùng dầu gội phù hợp , tránh gội bằng dầu gội nhiều hóa chất( nen gội bằng bồ kết là tốt nhất )
Nếu rụng tóc nhiều kèm theo ngứa, gầu bạn nên đi khám BS  da liễu để có hướng điều trị cụ thể
Chúc bạn thành công"
4,Khoa da liễu,https://edoctor.io/hoi-dap/cau-hoi-bac-si-chuyen-khoa-da-lieu-ngoai-khoa-so-482204,"Xin chào bác sĩ,
em muốn hỏi ở hà nội thẩm mỹ viện nào uy tín nhất ạ? cảm ơn bs.","Chào bạn, 
Hiện tại dịch vụ thẩm mỹ rất phát triển, ở Hà Nội cũng có rất nhiều các cơ sở thẩm mỹ có uy tín. 
Bạn có thể tham khảo các dịch vụ ở Thu Cúc, một số các bệnh viện như viện 108 cũng đã có dịch vụ như nâng mũi, sửa mũi... 
Thân mến!"
5,Khoa da liễu,https://edoctor.io/hoi-dap/cau-hoi-bac-si-chuyen-khoa-da-lieu-so-463633,"Chào bác sĩ ạ.
Năm nay cháu 23 tuổi nhưng cháu mắc chứng tóc bạc sớm. Tóc bạc xung quang đầu gần vị trí 2 tai. Điều nay ko gây ảnh hưởng gì tới sức khỏe của cháu, nhưng về mặt thẩm mỹ thì ko được tốt ạ. Cháu mới bị khoảng 3 năm thôi ạ.
Không biết tình trạng này có gì khắc phục không ạ, và với tình trạng như vậy cháu có mắc bệnh gì ko ạ
Cháu mông nhận được sự hồi âm từ bác sĩ.
Cháu xin cảm ơn.","Chào bạn 
Tóc bạc sớm có thể do những nguyên nhân như sau : 
- Di truyền 
- Sinh hoạt, ăn uống không điều độ, mất ngủ, căng thẳng thần kinh 
-  Thiếu hụt melanin ở nang tóc
Nếu tóc bạc do di truyền thì rất khó để điều trị , cần phải kiên trì thì cũng sẽ khắc phục được. Nếu là những nguyên nhân do sinh hoạt thì cần phải thay đổi lối sống , sinh hoạt điều độ hơn. Ngoài ra, có thể sử dụng Hà Thủ Ô giúp đen tóc. 
Thân mến."
6,Khoa da liễu,https://edoctor.io/hoi-dap/cau-hoi-bac-si-chuyen-khoa-da-lieu-so-482325,,
7,Khoa da liễu,https://edoctor.io/hoi-dap/cau-hoi-bac-si-chuyen-khoa-da-lieu-so-462441,"Xin chào bác sĩ,
Cơ thể tôi bị nổi mẫn ngứa khi bị cấn. Xin hỏi tôi bị gì? Ví dụ, tôi đặt tay lên bàn, tay bị cấn ở cạnh bàn, lát sau vết hằn này ngứa và nổi mẫn.","Chào em!
- Có khả năng em bị dị ứng, kích ứng da khi bị tiếp xúc mạnh. Có những người mang vớ, lưng quần chật thì vùng da đó cũng sẽ kích ứng nổi quầng đỏ, ngứa. Tùy theo từng cơ địa mà vết đó nó lặn nhanh hay chậm, có thể để lại vết thâm ở chỗ vùng da mỏng.
- Đối với người có làn da nhạy cảm thì nên hạn chế mang đồ chật, nên dùng cotton cho thông thoáng sẽ đỡ kích ứng hơn.
Chúc em vui và sống khỏe!"
8,Khoa da liễu,https://edoctor.io/hoi-dap/cau-hoi-bac-si-chuyen-khoa-da-lieu-so-446913,"chào bác sĩ,
Me em bi nhung dom trang lan rat nhanh khap co the.xin cho em benh co chua duoc ko","Chào bạn. 
Qua triệu chứng bạn mô tả có thể mẹ bạn đã mắc bệnh Lang ben. Lang ben là một loại nấm lan rất nhanh. Những mảng trắng trên cơ thể có thể gây ngứa hoặc không. Đây là một loại nấm có thể điều trị được. Bạn của thể mua thuốc bôi : SAS ( Ngày bôi 2 lần ) . 
Nếu sau 1 tuần không đỡ bạn nên đưa mẹ đến viện Da liễu soi da để chuẩn đoán xác định nhé. 
Thân mến."
9,Khoa da liễu,https://edoctor.io/hoi-dap/cau-hoi-bac-si-chuyen-khoa-da-lieu-so-481524,"Xin chào bác sĩ, em năm nay 21 tuổi và bị nhiều mụn li ti, đầu trắng,nhất là trên trán. Em muốn hỏi bác sĩ nên dùng thuốc gì? Cách đây hơn 2 tháng em đi khám bác sĩ kê đơn em uống và bôi theo đơn nhưng sau lại lên nhiều hơn. Giờ em dùng thuốc Bảo Lâm, thấy mụn trồi nhân lên nhiều không biết sẽ thế nào ạ?","Chào bạn, 
Tình trạng của bạn có thể là biểu hiện của viêm nang lông ( viêm lỗ chân lông). Với tình trạng này, trước tiên bạn nên giữ gìn vệ sinh sạch sẽ, tuyệt đối không được nặn mụn dễ gây sẹo thâm, ảnh hưởng đến thẩm mỹ.
Da bạn nếu vào loại da nhờn, nên có chế độ chăm sóc da đặc biệt : 
- Đi ra ngoài nên đeo khẩu trang tránh tiếp xúc với bụi bẩn , nắng.
- Rửa mặt ngày 2-3 lần bằng sữa rửa mặt có tinh chất dưa leo.
- Uống bổ sung Vitamin C.
- Uống nhiều nước.
- Tăng cường ăn nhiều rau xanh và hoa quả tươi.
Thân mến!"
