,specialty,links,question,answer
0,Chủ đề nổi bật,https://edoctor.io/hoi-dap/huyet-ap-cao-145-mmhg-co-can-uong-thuoc,"Bác Sĩ ơi
Vui lòng cho em hỏi
Người già 78t có huyết áp là 145 thì có cần uống thuốc hạ huyết áp không ạ ?
Người này có tiền sử là cao huyết áp ạ..
E cảm ơn BS đã tư vấn..
",Chào bạn! Cảm ơn bạn đã gửi câu hỏi đến eDoctor! Với huyết áp tối đa là 145 mmHg khi đo ở điều kiện bình thường thì cần kiểm soát huyết áp bằng thuốc huyết áp bạn nhé và duy trì liên tục để hạn chế các biến chứng do tăng huyết áp gây nên. Trân trọng
1,Chủ đề nổi bật,https://edoctor.io/hoi-dap/bi-viem-gan-b-co-gay-ngua-hay-khong,"Nam 30 tuổi
Bác sĩ cho em hỏi là mắc viêm gan B có gây ngứa không ạ
Em đã đi xét nghiệm giun sán nhưng không có,họ bảo men gan tăng cao cũng gây ngứa,em hoang mang quá không biết nên đi khám gì,mong bác sĩ giải đáp hộ ạ…Em xin cảm ơn","Chào bạn, gan làm nhiệm vụ chuyển hóa các chất trong cơ thể, từ đó dễ đào thải ra ngoài. Khi chức năng gan bị suy giảm có thể gây tích tụ một số chất gây ngứa da. Tuy nhiên nguyên nhân gây hay gặp hơn là bệnh lý da.  Bạn nên đi khám chuyên khoa da liễu để bác sĩ thăm khám, xác chính xác nguyên nhân gây ngứa. Thân mến. "
2,Chủ đề nổi bật,https://edoctor.io/hoi-dap/benh-gian-tinh-mach-viem-gan-b-the-ngu-mau-nhiem-mau-co-phai-la-benh-nen,"tôi bị giãn tĩnh mạch chân,viêm gan B thể ngủ,máu nhiễm mỡ có gọi là bệnh nền không ạ","Chào cô, năm nay cô bao nhiêu tuổi và có bệnh lý gì khác không? Các bệnh trên có thể coi là bệnh nền, mạn tính. Chúc cô nhiều sức khỏe!"
3,Chủ đề nổi bật,https://edoctor.io/hoi-dap/hoi-di-tieu-nhieu-lan-khi-ngu-la-benh-gi,"Xin chào bác sĩ, gần đây cứ mỗi lần nằm nghỉ trưa hay tối, tôi hay đi tiểu rất nhiều lần. Đó là triệu chứng gì và cách khắc phục. Cám ơn BS nhiều","Chào bác,

Đi tiểu thường xuyên là triệu chứng của nhiều nguyên nhân. 
Cần ghi nhận thêm: Lượng nước tiểu của mỗi lần đi tiểu? Tổng lượng nước tiểu trong ngày? Tính chất nước tiểu? Các triệu chứng khác đi kèm? Có đang dùng thuốc gì không?

Nếu tiểu nhiều lần, mỗi lần một ít gọi là tiểu lắt nhắt. Nếu tiểu lắt nhắt đi kèm với sốt, đau khó chịu vùng hố chậu gợi ý bệnh cảnh nhiễm trùng đường tiểu. Ngoài ra, một số nguyên nhân có thể gặp là:
- Đái tháo đường
- Bệnh lý tuyến tiền liệt
- Viêm bàng quang kẽ
- Tổn thương thần kinh
- Hay đang dùng thuốc lợi tiểu
Ngoài ra còn có một số nguyên nhân hiếm gặp.

Việc chẩn đoán nguyên nhân cần sự hỗ trợ của các xét nghiệm nước tiểu, xét nghiệm máu, siêu âm...

Bên cạnh việc điều trị bệnh nền, bệnh nhân có thể thực tập một số thay đổi nhỏ trong lối sống:
- Tập nhịn tiểu theo lộ trình của bác sĩ hướng dẫn nhằm kéo dài 
- Theo dõi chế độ ăn và dùng thuốc
- Theo dõi lượng nước uống vào
- Bài tập Kegel: bài tập này nam hay nữ đều có thể thực tập.

Hy vọng những thông tin này có ích cho bác. 
Trân trọng."
4,Chủ đề nổi bật,https://edoctor.io/hoi-dap/benh-vien-nao-chuyen-dieu-tri-gout,"bác sĩ cho e hỏi: e bị bệnh gút khoảng 8 năm, do cviec nên có uống rượu bia và thỉnh thoảng bị đau nhức ở ngona chân cái và đã hình thành các hạt tophi nen e muốn đi khám ở bệnh viện nào chuyên điều trị ạ","Chào bạn, cám ơn bạn đã gửi câu hỏi
   Gút là bệnh lý cơ xương khớp khá phổ biến, diễn tiến mạn tính, điều trị chủ yếu là hạn chế triệu chứng, biến chứng. Bạn có thể đến khám và điều trị ở các bệnh viện có chuyên khoa cơ xương khớp đều được. Bên cạnh đó cần hạn chế bia rượu, các loại thịt đỏ, ăn thêm rau xanh trái cây, uống đủ nước...
Chúc bạn nhiều sức khoẻ - Thân chào bạn"
5,Chủ đề nổi bật,https://edoctor.io/hoi-dap/hoi-muon-chuyen-qua-thuoc-dieu-tri-tieu-duong-khac-co-nen-khong,"Tôi là nữ, 67 tuổi. Tôi đang điều trị tiểu đường dùng Glucophage 850mg, ngày uống 2 viên sáng và tối. Hiện tại buổi sáng đo đường huyết lúc chưa ăn dao động ở 5.0 đến 6.8 . 
Tôi có anh bạn cùng tuổi cũng đang điều trị tiểu đường nhưng anh ấy dùng Diamicron MR 60mg, mỗi ngày anh ấy chỉ uống 1 viên vào buổi sáng, tôi thấy như vậy đơn giản hơn, đỡ bị quên. 
Câu hỏi của tôi: Tôi muốn chuyển sang dùng thuốc Diamicron giống anh bạn tôi có được không?
Cám ơn Bác sĩ.","Chào bác, cảm ơn bác đã gửi câu hỏi về eDoctor! Xin trả lời câu hỏi của bác, bác dùng Glucophage (Metformin) và đáp ứng tốt đó là điều may mắn, vì metformin đã chứng minh được sự ưu việt khi dùng để kiểm soát đường máu và cũng được ưu tiên sử dụng. Do vậy, bác không cần đổi sang Diamicron chỉ vì để tiện uống hơn. Trân trọng!"
6,Chủ đề nổi bật,https://edoctor.io/hoi-dap/benh-ly-tim-mach-co-phai-dung-thuoc-ca-doi,"Chào Bác sĩ, tôi năm nay 50 tuổi cách đây 3 năm tôi tình cờ khám và biết mình bị hội chứng W.P.W chỉ thỉnh thoảng bị tim đập rất mạnh và nhanh rồi hết. Tôi khám ở bệnh viện 115, bác sĩ đề nghị chuyển qua bệnh viện Thống Nhất để đốt. Do chưa đủ điều kiện và hoàn cảnh gia đình khó khăn tôi xin về và đi bác sĩ chuyên khoa tim mạch ngoài giờ cho uống thuốc đã hơn 2 năm. Xin Bác sĩ tư vấn giúp có nên đi đốt gì gì đó hay nên uống suốt đời ạ. Cám ơn Bác Sĩ . 


","Chào cô ạ, Nếu hiện tại cô uống thuốc duy trì ổn định thì cô có thể tiếp tục duy trì thuốc để kiểm soát nhịp tim cô nhé. Nếu thuốc không đáp ứng hoặc đáp ứng kém mới xét đến vấn đề can thiệp ạ. Cô nên đi khám định kì tại chuyên khoa tim mạch để được kiểm soát nhịp tim và điều chỉnh thuốc nếu cần thiết nha. Chúc cô nhiều sức khỏe!"
7,Chủ đề nổi bật,https://edoctor.io/hoi-dap/hoi-khi-cac-chi-so-da-binh-thuong-thi-co-can-phai-uong-duy-tri-thuoc-mo-mau-va-huyet-ap-hay-khong,,
8,Chủ đề nổi bật,https://edoctor.io/hoi-dap/hoi-lam-sao-de-giam-can-hieu-qua,"Chào bác sĩ, em năm nay 17 tuổi bị béo phì. Em cao 1m63 nặng 87kg, em đã thử nhiều phương pháp ăn kiêng giảm cân khác nhau như keto, low carb nhưng đều không hiệu quả. Mong bác sĩ tư vấn cho em cách giảm cân hiệu quả.","Chào em,
Hiện tại với cân nặng và chiều cao của em thì tính được chỉ số BMI =32.7kg/m2 thì bạn được chẩn đoán béo phì độ 2 (theo IDI&WPRO).
Bạn đang muốn giảm cân và đang bối rối không biết ăn thế nào để giảm cân thành công mà đơn giản, dễ làm. Sau đây là những gợi ý bạn có thể tham khảo chế độ giảm cân lành mạnh.
1/ Nguyên tắc khi giảm cân
- Nguyên tắc khi thực hiện giảm cân là giảm 5-10% cân nặng trong 3-6 tháng, trung bình là 2kg/tháng (khoảng 0,5kg/tuần), không quá 4kg/tháng. Bạn cần chia nhỏ bữa ăn thành 5 bữa/ngày. Trong đó, bữa ăn tối cách giờ đi ngủ trên 2 tiếng. Tổng năng lượng bữa tối phải < 20% năng lượng khẩu phần.
- Ngoài ra, người thừa cân béo phì cần tuân thủ các nguyên tắc sau để giảm cân hiệu quả:
- Giảm lượng calo trong chế độ ăn uống hàng ngày. Muốn vậy, cần kiểm soát thành phần bữa ăn và hàm lượng dinh dưỡng trong mỗi thực đơn.
-Tránh tất cả các thực phẩm nhiều chất béo (thịt mỡ, thịt chân giò, nước hầm xương, các món chiên xào, fastfood, món ăn ngọt…).
-Chia khẩu phần ăn thành nhiều bữa nhỏ hơn (thay vì một khẩu phần lớn). 
-Học cách chế biến thực phẩm an toàn, lành mạnh (ví dụ không dùng mỡ động vật khi chế biến thức ăn; hạn chế chiên, xào, nướng và thay bằng hấp, luộc…).
-Chọn các món ăn bổ dưỡng ít chất béo (như salad không sốt, nước ép rau củ quả nguyên chất…).
-Tăng cường tập luyện (ít nhất 60 phút/ngày, 5 ngày/tuần).
-Bên cạnh đó, người thừa cân nên uống ít nhất 8 cốc nước lớn mỗi ngày. Uống đủ lượng nước giúp đẩy nhanh quá trình chuyển hóa chất béo và tránh giữ nước.
2/ Một số lời khuyên cho chế độ giảm cân
- Cắt giảm lượng tinh bột (cơm, bún, phở, bánh mì…), đường (nước ngọt có ga, sữa có đường,…) nên dùng đường ăn kiêng.
- Ăn tăng cường đạm, chất béo lành mạnh và rau ít carb.
Nguồn protein lành mạnh bao gồm: Thịt: thịt bò, thịt gà, thịt lợn nạc, cá…. Cá và hải sản: cá hồi, cá hồi và tôm. Trứng: toàn bộ trứng với lòng đỏ. Protein từ thực vật: đậu, đậu và đậu nành
Nhiều loại rau chứa ít carbs, bao gồm: Bông cải xanh, súp lơ, rau bina, cà chua, cải xoăn, bắp cải Brucxen, cải bắp. Bổ sung nhiều vitamin và chất xơ từ các rau, củ, quả.
Nguồn chất béo lành mạnh bao gồm: Dầu ô liu, dầu dừa, dầu bơ, bơ.
- Phối hợp các động tác vận động tập luyện nhẹ nhàng tại nhà ít nhất mỗi ngày 30-60phút
Nếu nâng tạ không phải là một lựa chọn cho bạn, thì thực hiện một số bài tập tim mạch như đi bộ, chạy bộ, chạy bộ, đạp xe hoặc bơi lội.
- Uống nhiều nước mỗi ngày 2-2,5 lít, uống nước trước các bữa ăn chính (khoảng 300-500ml trước ăn 30 phút).
- Đừng bỏ bữa sáng: Bỏ bữa sáng sẽ không giúp bạn giảm cân. Bạn có thể bỏ lỡ các chất dinh dưỡng thiết yếu và cuối cùng bạn có thể ăn vặt nhiều hơn vì cảm thấy đói.
- Ăn trứng cho bữa sáng: Các nghiên cứu cho thấy việc thay thế bữa sáng bằng ngũ cốc, bằng trứng có thể giúp bạn ăn ít calo hơn trong 36 giờ tới cũng như giảm cân và mỡ trong cơ thể.
Bạn nên kiên nhẫn để có chế độ ăn phù hợp và tập luyện để có được liệu trình giảm cân lành mạnh, hạn chế sử dụng các thực phẩm chức năng và các loại thuốc giảm cân, tránh gây ảnh hưởng và tác dụng phụ ngược lại với sức khoẻ.
Chúc bạn có chế độ giảm cân lành mạnh và thành công!
"
9,Chủ đề nổi bật,https://edoctor.io/hoi-dap/can-nang-dinh-duong-cua-tre-2-tuoi-la-bao-nhieu,Bác sĩ ơi bé gái nhà em 2tuổi cao 86 nặng 12kg cách đây 2 tháng bé 14kg sao khi bé bị f0 rồi bệnh đến hôm nay bị sụt còn 12kg vậy bác sĩ cho em hỏi bé có bị thiếu kí không ạ em cảm ơn ,"Chào bạn, với lứa tuổi của bé 12 kg không phải là quá nhẹ cân. Cân nặng bình thường của bé gái 2 tuổi là 11.5kg. Bé có nguy cơ suy dinh dưỡng nếu có cân nặng 10.1kg hoặc bị suy dinh dưỡng nếu cân nặng chỉ 9.2kg. Ngược lại, bé có nguy cơ béo phì nếu cân nặng đạt 13.1kg và bị béo phì nếu cân nặng đạt 14.6kg. Thân mến. "
